sample_id,sample_date,k,no3_n,mg,ca,nh4_n
Q1,1991-07-16,0.52,10,3.17,5.86,NA
Q1,1991-07-23,0.25,10,3.42,5.89,NA
Q1,1991-07-30,0.69,10,3.32,5.86,NA
Q1,1991-08-06,0.83,10,4.17,6.07,NA
Q1,1991-08-13,0.74,NA,4.32,6.13,NA
Q1,1991-08-20,0.79,17,4.3,7.07,NA
Q1,1991-08-27,0.92,15,3.25,5.41,NA
Q1,1991-08-27,1.42,130,1.7,2.86,NA
Q1,1991-09-03,0.95,69,3.36,5.27,NA
Q1,1991-09-10,2.56,75,7,12.1,NA
Q1,1991-09-17,0.97,31,3.17,4.98,NA
Q1,1991-09-24,0.99,65,3.4,5.6,NA
Q1,1991-10-01,0.97,83,3.24,4.87,NA
Q1,1991-10-08,1.11,69,3.45,5.15,NA
Q1,1991-10-15,0.97,81,3.27,5.09,NA
Q1,1991-10-22,0.79,74,3.71,5.22,NA
Q1,1991-10-29,0.73,54,3.51,4.8,NA
Q1,1991-11-05,1.15,100,2.57,4.88,NA
Q1,1991-11-07,1.77,44,1.19,1.55,NA
Q1,1991-11-08,1.2,57,1.49,2.17,NA
Q1,1991-11-12,1.33,150,3.46,5.29,NA
Q1,1991-11-18,0.94,85,3.3,6.25,NA
Q1,1991-11-22,1.52,104,1.33,1.94,NA
Q1,1991-11-26,1.21,145,3.04,4.56,NA
Q1,1991-12-03,1.1,100,2.53,3.62,NA
Q1,1991-12-10,0.99,338,3.03,4.81,NA
Q1,1991-12-17,1.05,167,3.07,4.62,NA
Q1,1991-12-23,1.05,164,3.08,5.86,NA
Q1,1991-12-30,1.09,NA,3.37,5.81,NA
Q1,1992-01-07,1.31,216,2.82,4.82,NA
Q1,1992-01-14,1.18,200,3.15,5.59,NA
Q1,1992-01-21,1.35,177,3.32,5.68,NA
Q1,1992-01-28,1.29,171,3.16,5.47,NA
Q1,1992-02-04,1.3,324,2.29,2.81,NA
Q1,1992-02-06,1.59,17,2.3,4.01,NA
Q1,1992-02-11,1.04,101,3.33,4.77,NA
Q1,1992-02-18,1.01,291,3.22,5.78,NA
Q1,1992-02-25,0.99,138,3.47,5.75,NA
Q1,1992-03-03,1.13,174,3.84,8.48,NA
Q1,1992-03-10,1.06,10,3.15,5.11,NA
Q1,1992-03-17,1.1,133,3.3,6.08,NA
Q1,1992-03-24,1.01,NA,3.22,5.5,NA
Q1,1992-04-01,1.56,87,2.95,4.48,NA
Q1,1992-04-07,0.75,36,5.53,8.77,NA
Q1,1992-04-14,1.03,11,3.22,5.76,NA
Q1,1992-04-21,1.37,49,3.53,6.85,NA
Q1,1992-04-28,0.44,30,2.37,4.24,NA
Q1,1992-05-05,1.07,27,3.13,5.32,NA
Q1,1992-05-12,0.97,137,3.37,5.64,NA
Q1,1992-05-19,0.92,128,3.28,5.3,NA
Q1,1992-05-26,1.35,NA,2.54,4.21,NA
Q1,1992-06-02,1.34,66,1.49,2.24,NA
Q1,1992-06-09,1,10,3.09,5.32,NA
Q1,1992-06-16,1.21,27,1.58,2.54,NA
Q1,1992-06-23,0.98,32,2.46,3.92,NA
Q1,1992-06-30,1.15,31,3.27,5.49,NA
Q1,1992-07-07,1.14,111,3.32,5.58,NA
Q1,1992-07-14,1.32,41,3.68,6.34,NA
Q1,1992-07-21,1.09,NA,3.4,5.72,NA
Q1,1992-07-28,1.18,148,3.48,5.94,NA
Q1,1992-08-04,1.11,359,3.41,6.04,NA
Q1,1992-08-11,1.13,26,1.9,3.06,NA
Q1,1992-08-18,1.09,27,3.34,5.98,NA
Q1,1992-08-25,1.11,382,3.41,6.31,NA
Q1,1992-09-01,1,10,3.77,6.51,NA
Q1,1992-09-08,1.17,10,2.39,4.24,NA
Q1,1992-09-15,1.36,16,4.61,7.98,NA
